NOAA Station,County,Latitude,Longitude,500-year 24-h 
,,,,Rainfall (mm)
Oxford AG,Granville,36.3047,-78.6092,228.6
Franklinton,Franklin,36.105,-78.4592,236.7
Henderson 2 NNW,Vance,36.3481,-78.4119,232.4
Louisburg,Franklin,36.1028,-78.3039,252.5
Arcola,Warren,36.2911,-77.9822,289.6
Nashville,Nash,35.9667,-77.9667,299.7
Rocky Mount 6 SW,Nash,35.91,-77.8892,320
Rocky Mount Exp Farm,Edgecombe,35.8936,-77.6806,332.7
Enfield,Halifax,36.1686,-77.675,317.5
Tarboro 1 S,Edgecombe,35.8847,-77.5386,332.7
Scotland Neck,Halifax,36.1369,-77.4231,330.2
Greenville 2,Pitt,35.6333,-77.4,348
