Gaging Site Description,Hurricane Matthew,,,,,Hurricane Florence,,,,
,USGS,,,HEC-RAS RoG Q ,,USGS,,HEC-RAS RoG ,,
, Peak Discharge m3/s,Peak Depth , Peak Discharge m3/s,,Peak Depth , Peak Discharge m3/s,Peak Depth , Peak Discharge m3/s,Peak Depth ,
,,(m),,,(m),,(m),,(m),
"USGS 02081500 TAR RIVER NEAR TAR RIVER, NC",367.4,4.27,325.65,,5.31,410.59,5.02,470.94,5.79,
"USGS 02081747 TAR R AT US 401 AT LOUISBURG, NC",402.1,5.49,372.39,,5.91,252.87,4.79,274.67,4.91,
"USGS 02081942 TAR RIVER AT NC-581 NEAR SPRING HOPE, NC",410.59,4.29,308.17,,5.05,172.17,1.88,90.16,2.26,
"USGS 02082950 LITTLE FISHING CREEK NEAR WHITE OAK, NC",376.61,6.35,384.97,,6.39,21.44,1.11,17.54,2.16,
"USGS 02083000 FISHING CREEK NEAR ENFIELD, NC",424.75,3.76,295.06,,3.66,47.57,1.08,29.17,1.72,
"USGS 02082585 TAR RIVER AT NC 97 AT ROCKY MOUNT, NC",656.95,7.91,708,,7.58,176.41,1.65,198.24,2.5,
,1203.47,4.65,1383.36,,4.8,189.72,1.39,247.37,2.83,
"USGS 02083500 TAR RIVER AT TARBORO, NC",,,,,,,,,,
"USGS 02084000 TAR RIVER AT GREENVILLE, NC",1308.24,5.47,1311.05,,5.15,264.48,0.92,253.55,1.01,
,,,,,,,,,,
"Highwater marks in Town of Princeville (USGS, 2016) – FD1",,1.91,,,2.03,,,,,
Ditto – RR1,,0.89,,,0.46,,,,,
Ditto – SS1,,1.42,,,1.23,,,,,
